               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.021512,            0.014029,           0.0074371,             0.93236,              0.9364,             0.96714,             0.71573,            0.014541,           0.0063022,           0.0025809,           0.0060344,           0.0060344,           0.0060344
                  72,            0.021424,            0.014357,           0.0076288,             0.89306,             0.96566,             0.98077,             0.70867,            0.013822,            0.006441,           0.0033171,           0.0059838,           0.0059838,           0.0059838
                  73,            0.021345,            0.014085,           0.0067652,             0.92332,             0.95413,              0.9801,             0.72229,            0.013827,           0.0062339,           0.0026112,           0.0059328,           0.0059328,           0.0059328
                  74,            0.020586,            0.014047,           0.0068534,             0.92342,             0.95628,             0.97325,             0.72736,            0.013458,            0.006285,           0.0024837,           0.0058815,           0.0058815,           0.0058815
                  75,            0.021023,            0.014764,           0.0064446,             0.94508,             0.95255,             0.98775,             0.72672,            0.013406,            0.006328,           0.0023697,           0.0058297,           0.0058297,           0.0058297
                  76,            0.020327,            0.013962,           0.0066445,              0.9178,             0.96031,             0.97437,             0.73862,            0.013172,           0.0061358,           0.0026892,           0.0057777,           0.0057777,           0.0057777
                  77,            0.020988,            0.014091,           0.0064875,             0.92921,             0.95692,             0.98214,             0.73435,            0.013475,           0.0062304,           0.0019834,           0.0057252,           0.0057252,           0.0057252
                  78,            0.020624,            0.013852,           0.0065351,             0.90971,             0.95018,             0.97041,             0.71411,            0.013847,           0.0061611,           0.0023116,           0.0056725,           0.0056725,           0.0056725
                  79,            0.020876,            0.013555,           0.0068232,             0.91422,             0.96047,             0.97813,             0.72933,            0.013895,           0.0061478,           0.0023066,           0.0056195,           0.0056195,           0.0056195
                  80,            0.020386,            0.013906,            0.005778,             0.94086,               0.964,             0.98256,             0.73395,            0.013117,            0.006081,           0.0017648,           0.0055661,           0.0055661,           0.0055661
                  81,            0.020694,            0.013909,           0.0062817,             0.94961,             0.96657,             0.99039,              0.7471,            0.013203,           0.0060844,            0.002028,           0.0055125,           0.0055125,           0.0055125
                  82,            0.020264,            0.013594,            0.006364,             0.90238,             0.97298,             0.97394,             0.75585,            0.013052,           0.0061037,           0.0021936,           0.0054585,           0.0054585,           0.0054585
                  83,            0.020174,            0.013786,           0.0055416,             0.95382,             0.96722,             0.98302,             0.74134,            0.013334,           0.0061866,           0.0020361,           0.0054044,           0.0054044,           0.0054044
                  84,            0.020052,             0.01381,           0.0061464,             0.94887,             0.95796,             0.98942,             0.74377,            0.014267,           0.0061625,           0.0020346,           0.0053499,           0.0053499,           0.0053499
                  85,            0.020747,            0.014118,           0.0059239,             0.93174,             0.97471,             0.98162,             0.75454,            0.013121,            0.005998,           0.0017351,           0.0052953,           0.0052953,           0.0052953
                  86,            0.019963,            0.013515,           0.0055193,             0.93203,             0.96984,             0.98395,             0.74509,            0.012891,             0.00596,           0.0017081,           0.0052404,           0.0052404,           0.0052404
                  87,            0.019895,             0.01318,           0.0063331,             0.91905,             0.97437,             0.98421,             0.74541,            0.012991,            0.006148,           0.0021869,           0.0051853,           0.0051853,           0.0051853
                  88,             0.01952,             0.01372,           0.0056714,              0.9033,             0.96831,             0.98159,             0.75431,            0.012694,           0.0058618,           0.0019311,             0.00513,             0.00513,             0.00513
                  89,            0.019923,            0.013435,           0.0051366,             0.95079,             0.97183,             0.98221,             0.76314,            0.012627,           0.0059785,           0.0015771,           0.0050746,           0.0050746,           0.0050746
                  90,            0.019641,            0.013203,           0.0057903,             0.93904,             0.96986,             0.98984,              0.7542,            0.013103,           0.0060494,           0.0022392,           0.0050189,           0.0050189,           0.0050189
                  91,            0.019771,            0.013551,           0.0056235,             0.94538,             0.96779,             0.98373,             0.74542,            0.012862,           0.0059843,            0.001834,           0.0049632,           0.0049632,           0.0049632
                  92,            0.019211,            0.013287,           0.0055465,             0.94157,             0.95655,             0.99446,             0.74186,            0.013258,           0.0059645,           0.0021461,           0.0049072,           0.0049072,           0.0049072
                  93,            0.019912,            0.013513,           0.0061543,             0.96313,              0.9689,             0.99482,             0.75404,            0.012786,           0.0059816,           0.0017134,           0.0048512,           0.0048512,           0.0048512
                  94,             0.01965,            0.013936,           0.0056172,             0.93796,             0.97981,             0.99382,              0.7628,            0.012917,           0.0060454,           0.0019422,            0.004795,            0.004795,            0.004795
                  95,             0.01936,            0.013217,           0.0055411,             0.94418,               0.963,             0.97758,             0.76354,            0.012827,           0.0060296,           0.0018312,           0.0047388,           0.0047388,           0.0047388
                  96,            0.019351,            0.013359,            0.005397,             0.94835,             0.97841,             0.99169,             0.76899,            0.012523,            0.005942,           0.0016715,           0.0046825,           0.0046825,           0.0046825
                  97,            0.019249,            0.012767,           0.0055777,             0.94648,             0.96986,             0.98017,             0.75694,            0.012541,            0.005963,             0.00172,            0.004626,            0.004626,            0.004626
                  98,            0.018669,             0.01262,           0.0052252,             0.94624,             0.97097,             0.98443,             0.75405,            0.012483,           0.0058757,           0.0014629,           0.0045696,           0.0045696,           0.0045696
                  99,            0.019178,            0.013069,           0.0049658,             0.95493,             0.96343,             0.99341,             0.74806,            0.012525,           0.0058886,           0.0016759,           0.0045131,           0.0045131,           0.0045131
                 100,            0.019005,            0.012739,            0.004752,             0.94835,             0.97358,              0.9793,             0.77164,            0.012502,            0.005921,           0.0013185,           0.0044565,           0.0044565,           0.0044565
                 101,            0.019001,            0.013229,           0.0044289,             0.97291,              0.9499,             0.98404,             0.78307,             0.01218,           0.0057793,            0.001214,              0.0044,              0.0044,              0.0044
                 102,              0.0188,            0.012915,           0.0048716,             0.92404,             0.97472,             0.97399,             0.77174,            0.012508,           0.0057233,           0.0016573,           0.0043435,           0.0043435,           0.0043435
                 103,            0.018613,            0.012849,           0.0045541,             0.93455,             0.97647,             0.98217,             0.77584,             0.01223,           0.0057497,           0.0014567,           0.0042869,           0.0042869,           0.0042869
                 104,            0.018737,            0.013057,           0.0048625,             0.94616,             0.97683,              0.9795,             0.77245,            0.012634,           0.0057473,           0.0011545,           0.0042304,           0.0042304,           0.0042304
                 105,            0.018154,            0.012918,            0.004142,             0.94828,             0.95986,             0.98424,             0.78032,            0.012265,            0.005768,           0.0014022,            0.004174,            0.004174,            0.004174
                 106,            0.018062,             0.01285,           0.0046394,             0.94777,             0.98876,             0.99487,             0.78596,             0.01262,           0.0057664,           0.0013862,           0.0041175,           0.0041175,           0.0041175
                 107,            0.018575,            0.012701,           0.0042483,             0.96846,             0.97297,             0.99492,             0.78611,            0.012398,           0.0057951,           0.0013622,           0.0040612,           0.0040612,           0.0040612
                 108,            0.018097,            0.012628,           0.0043298,             0.94755,              0.9812,             0.98633,             0.78973,             0.01231,           0.0057352,           0.0011897,            0.004005,            0.004005,            0.004005
                 109,            0.018127,            0.012988,           0.0040674,             0.96271,              0.9798,             0.98603,             0.78338,            0.012486,           0.0057018,           0.0011535,           0.0039488,           0.0039488,           0.0039488
                 110,            0.017736,            0.012579,           0.0043038,              0.9746,             0.97537,             0.99496,             0.80575,            0.012188,           0.0057314,           0.0012584,           0.0038928,           0.0038928,           0.0038928
                 111,            0.018014,            0.012647,           0.0044718,             0.96366,             0.97984,             0.99472,             0.78534,            0.012427,           0.0057482,           0.0014854,           0.0038368,           0.0038368,           0.0038368
                 112,             0.01764,            0.012708,           0.0044585,             0.94743,             0.96959,             0.97898,             0.77525,            0.012357,           0.0057163,           0.0012791,           0.0037811,           0.0037811,           0.0037811
                 113,            0.017807,            0.012462,           0.0041836,             0.94129,             0.97194,             0.96873,             0.79799,            0.011572,           0.0055952,           0.0010946,           0.0037254,           0.0037254,           0.0037254
                 114,            0.017473,            0.012466,           0.0035933,             0.97887,             0.97882,             0.99496,             0.79276,            0.011862,           0.0056406,           0.0010686,             0.00367,             0.00367,             0.00367
                 115,            0.018078,            0.012826,           0.0041925,             0.97674,             0.97395,               0.995,             0.79076,            0.012144,           0.0057115,           0.0011611,           0.0036147,           0.0036147,           0.0036147
                 116,            0.017297,            0.012447,           0.0044144,             0.97522,             0.97463,             0.99424,             0.79062,            0.011823,           0.0055833,           0.0010454,           0.0035596,           0.0035596,           0.0035596
                 117,            0.017467,            0.012646,           0.0038629,             0.97098,             0.96898,             0.98456,             0.79298,            0.012283,           0.0056175,           0.0010563,           0.0035047,           0.0035047,           0.0035047
                 118,            0.017526,            0.012334,           0.0033983,             0.96717,             0.97525,             0.99494,             0.79909,            0.012198,           0.0056814,           0.0011655,           0.0034501,           0.0034501,           0.0034501
                 119,            0.017361,            0.012294,            0.003651,             0.95113,             0.97708,             0.98434,             0.79387,            0.011766,            0.005695,           0.0012443,           0.0033956,           0.0033956,           0.0033956
                 120,            0.017293,            0.012691,           0.0035816,             0.96317,             0.97082,             0.98288,             0.78337,            0.012161,           0.0056674,           0.0012047,           0.0033415,           0.0033415,           0.0033415
                 121,            0.017342,            0.012305,           0.0039566,             0.96529,             0.97219,             0.98454,             0.80248,            0.011725,           0.0056346,           0.0013968,           0.0032875,           0.0032875,           0.0032875
                 122,            0.017143,            0.012521,           0.0043098,             0.96642,             0.97641,             0.98448,             0.79335,            0.012222,            0.005615,           0.0011706,           0.0032339,           0.0032339,           0.0032339
                 123,            0.017416,            0.012051,           0.0041529,             0.96537,             0.97494,             0.99496,             0.81084,            0.012131,           0.0055928,            0.001157,           0.0031805,           0.0031805,           0.0031805
                 124,            0.017177,            0.012177,           0.0040331,             0.96616,             0.97631,             0.98111,             0.79154,            0.012122,           0.0056816,           0.0010337,           0.0031275,           0.0031275,           0.0031275
                 125,            0.016622,            0.012295,           0.0033681,             0.98022,             0.97142,             0.99496,             0.80045,            0.012022,           0.0055843,           0.0010942,           0.0030748,           0.0030748,           0.0030748
                 126,            0.016876,            0.011902,           0.0034046,             0.96525,             0.98487,             0.99351,             0.80206,            0.011595,           0.0055411,            0.001072,           0.0030223,           0.0030223,           0.0030223
                 127,            0.016687,            0.012114,           0.0039328,             0.97158,             0.98915,             0.99499,             0.79598,            0.011634,           0.0056433,           0.0010689,           0.0029703,           0.0029703,           0.0029703
                 128,            0.016621,            0.012171,            0.003563,             0.95313,             0.98249,             0.98103,             0.79402,            0.011623,           0.0056041,           0.0010104,           0.0029185,           0.0029185,           0.0029185
                 129,            0.016406,            0.012283,           0.0036646,             0.97826,             0.97642,             0.99488,             0.79745,            0.011812,           0.0055905,           0.0010284,           0.0028672,           0.0028672,           0.0028672
                 130,            0.016783,            0.012251,           0.0036597,             0.96402,             0.97544,             0.98287,             0.80182,            0.011324,           0.0054856,          0.00089343,           0.0028162,           0.0028162,           0.0028162
                 131,            0.016325,            0.011713,           0.0033175,             0.97145,             0.96361,             0.99472,             0.81103,            0.011619,           0.0055638,           0.0013054,           0.0027656,           0.0027656,           0.0027656
                 132,            0.016812,            0.012089,           0.0034741,             0.95809,             0.98655,              0.9944,             0.81425,            0.011784,           0.0054981,           0.0013924,           0.0027155,           0.0027155,           0.0027155
                 133,            0.016303,            0.011845,           0.0032007,             0.96344,             0.97618,             0.99392,             0.81561,            0.011659,           0.0054862,           0.0014247,           0.0026657,           0.0026657,           0.0026657
                 134,             0.01621,             0.01177,           0.0034382,             0.97491,             0.98444,             0.99475,             0.81701,            0.011194,           0.0054979,           0.0010254,           0.0026163,           0.0026163,           0.0026163
                 135,            0.015872,            0.011686,           0.0030924,             0.96894,             0.99022,             0.99499,             0.82183,            0.011403,           0.0054602,          0.00074329,           0.0025675,           0.0025675,           0.0025675
                 136,            0.016159,            0.011869,           0.0034012,             0.96415,             0.97681,             0.99492,             0.81235,            0.011212,            0.005444,           0.0009459,            0.002519,            0.002519,            0.002519
                 137,            0.016231,            0.011749,           0.0028464,             0.97051,             0.98587,             0.99437,             0.81493,            0.010879,           0.0054023,          0.00096607,            0.002471,            0.002471,            0.002471
                 138,            0.016143,            0.011865,           0.0032187,             0.97663,             0.98982,             0.99493,             0.81921,            0.011254,           0.0054274,          0.00083808,           0.0024235,           0.0024235,           0.0024235
                 139,            0.016156,            0.011809,           0.0034462,             0.98084,             0.97851,             0.99477,             0.80158,            0.011093,           0.0054743,          0.00084842,           0.0023765,           0.0023765,           0.0023765
                 140,            0.015921,            0.011601,            0.003096,             0.95432,             0.97166,             0.97224,             0.81835,            0.010989,           0.0053408,          0.00083243,             0.00233,             0.00233,             0.00233
                 141,            0.015752,            0.011763,           0.0028678,             0.96823,              0.9736,             0.98468,             0.81054,            0.011081,           0.0053416,           0.0009221,            0.002284,            0.002284,            0.002284
                 142,            0.015575,            0.011595,           0.0025588,             0.96786,             0.97729,             0.98596,             0.81569,            0.011114,           0.0053325,          0.00092988,           0.0022385,           0.0022385,           0.0022385
                 143,            0.015925,            0.011448,           0.0026871,             0.95977,             0.98532,             0.98462,              0.8192,            0.010865,           0.0053052,          0.00064619,           0.0021935,           0.0021935,           0.0021935
                 144,            0.015663,            0.011466,           0.0027067,             0.96621,             0.99411,             0.99497,             0.81461,            0.011668,           0.0054086,          0.00074721,           0.0021491,           0.0021491,           0.0021491
                 145,            0.015746,            0.011619,           0.0026819,             0.95877,             0.98223,             0.98484,             0.81846,            0.011759,           0.0053549,          0.00088073,           0.0021053,           0.0021053,           0.0021053
                 146,            0.015556,            0.011632,           0.0025054,             0.97245,             0.98461,             0.99458,             0.81401,            0.011707,           0.0052737,          0.00095738,            0.002062,            0.002062,            0.002062
                 147,            0.015343,            0.011136,           0.0023944,             0.95878,             0.98285,             0.98411,              0.8238,            0.011791,           0.0052695,          0.00088653,           0.0020193,           0.0020193,           0.0020193
                 148,            0.015084,            0.011696,           0.0022662,             0.96625,             0.97413,             0.99303,             0.82694,            0.011166,           0.0052718,          0.00096285,           0.0019772,           0.0019772,           0.0019772
                 149,            0.015127,            0.011418,           0.0024826,             0.97361,             0.96681,             0.98425,             0.81808,            0.011773,           0.0052557,          0.00085645,           0.0019356,           0.0019356,           0.0019356
                 150,            0.015296,            0.011493,           0.0026096,              0.9666,             0.98402,             0.98455,             0.82278,            0.011217,           0.0052447,          0.00074987,           0.0018947,           0.0018947,           0.0018947
                 151,            0.015149,            0.011167,           0.0027579,               0.967,             0.97198,              0.9842,             0.83224,            0.011072,           0.0052353,          0.00094873,           0.0018544,           0.0018544,           0.0018544
                 152,            0.015327,            0.011276,           0.0023011,             0.97909,             0.97526,             0.99478,             0.82249,            0.011071,           0.0052216,          0.00090908,           0.0018147,           0.0018147,           0.0018147
                 153,            0.014936,            0.011537,           0.0026936,             0.96794,             0.96856,             0.98386,             0.82103,            0.011069,           0.0052171,          0.00067833,           0.0017757,           0.0017757,           0.0017757
                 154,            0.015051,            0.011141,           0.0023869,             0.96354,             0.97025,             0.98454,             0.82205,            0.010969,           0.0052706,           0.0007621,           0.0017373,           0.0017373,           0.0017373
